time,temp,humid,volt
600371,21,63,5.2069252
1200422,13,78,5.1854564
1800486,10,90,5.164584
2400571,10,95,5.142638
3000607,10,98,5.138224
3600628,9,98,5.0801396
4200654,9,98,5.0528264
4800660,9,97,5.0349356
5400701,9,94,5.0066676
6000722,9,94,4.9665704
6600756,9,94,4.9547552
7200805,9,92,4.946175
7800864,9,92,4.9196816
8400951,8,94,4.9354404
9000960,8,95,4.9225592
9600996,8,97,4.6241336
10201007,8,99,4.7459096
10801040,8,99,4.7620116
11401099,8,99,4.812225
12001192,7,99,4.825248
12601276,7,99,4.8339404
13201271,7,99,4.7998284
13801310,7,99,4.8363704
14401386,7,99,4.822967
15001453,7,99,4.8303844
15601479,7,99,4.8473288
16201541,7,99,4.8470756
16801583,7,99,4.8149684
17401632,7,99,4.812711
18001718,7,99,4.8068576
18601792,7,99,4.836445
19201872,7,99,4.8231984
19801964,7,99,4.8121056
20402046,6,99,4.775132
21002140,6,99,4.8054276
21602222,6,99,4.7991056
22202217,6,99,4.8130604
22802239,6,99,4.7887288
23402301,6,99,4.8159224
24002385,6,99,4.797675
24602426,6,99,4.771793
25202495,6,99,4.7942148
25802592,6,99,4.8063808
26402639,6,99,4.8124632
27002692,6,99,4.76559
27602786,6,98,4.795885
28202871,6,88,4.7944536
28802951,5,79,4.7881328
29402948,5,78,4.7638016
30003009,5,81,4.7745356
30603077,5,83,4.7838384
31203143,4,87,4.7813336
31803229,3,95,4.7556908
32403290,2,99,4.801014
33003344,1,99,4.798986
33603400,1,99,4.786104
34203446,1,99,4.7979124
34803527,1,99,4.779664
